px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.7556	-7.14598	0	0	0	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0
6.68682	-6.93297	0.456175	2.33812	0	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	0
6.86356	-6.94732	0	0	0	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0
7.08741	-6.92602	0.725797	-0.773882	0	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0
7.15695	-6.75136	0	0	0	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0
7.29976	-6.68807	0.0555249	2.3999	0	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	0
7.35505	-6.56058	0	0	0	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0
7.53544	-6.5372	1.59387	-0.714582	0	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	0
7.65664	-6.46417	0	0	0	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0
7.67559	-6.34628	0.851221	-0.690878	0	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0
7.85193	-6.35845	0	0	0	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0
8.03231	-6.28406	0.962109	-0.663884	0	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0
8.13749	-6.14586	0	0	0	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0
8.21488	-6.01843	0.481433	-0.632288	0	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	0
8.33626	-5.94674	0	0	0	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0
8.50318	-5.89335	1.70327	-0.606064	0	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	0
8.65894	-5.86309	0	0	0	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0
8.77185	-5.74314	0.558938	-0.579689	0	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	0
8.85444	-5.64273	0	0	0	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0
9.02394	-5.6024	0.704075	-0.5556	0	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	0
9.05088	-5.45385	0	0	0	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0
9.04088	-5.29691	1.82891	-0.529976	0	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	0
9.34223	-5.32623	0	0	0	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0
9.39579	-5.21659	0.586321	-0.506831	0	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	0
9.55303	-5.13194	0	0	0	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0
9.75019	-5.14652	0.713422	-0.485669	0	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	0
9.7586	-4.93134	0	0	0	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0
9.9198	-4.86941	0.657997	-0.456323	0	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	0
9.95641	-4.74358	0	0	0	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0
10.0029	-4.54771	0.528965	-0.426704	0	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	0
10.1428	-4.45119	0	0	0	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0
10.1981	-4.26556	0.638313	-0.396158	0	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	0
10.3644	-4.16342	0	0	0	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0
10.5985	-4.12247	1.28476	-0.37096	0	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	0
10.5415	-3.9454	0	0	0	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0
10.7092	-3.85166	0.931803	-0.345253	0	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0
10.7616	-3.75002	0	0	0	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0
